Passport, Name, Nationality, Trade, Official
V99162262U,Charley Errol Vancura,Cambodia,Electronics,N
N47320955P,Shante Filiberto Brunet,Vietnam,Mechanical CAD,N
D80921412C,Odelia Ruthe Ducey,Myanmar,CNC Maintenance,N
V64103153M,Maisha Freeda Brzoza,Cambodia,Graphic Design,N
D13447135O,Jannette Jannette Fryberger,Myanmar,Mobile Robotics,N
D88082974I,Maisha Annemarie Sit,Myanmar,Refigeration,Y
C55007895A,Cyndy Kesha Harrow,Philippines,Industrial Automation,Y
X11073967Z,Osvaldo Kandi Neel,Indonesia,Mechatronics,N
K54660077G,Salvatore Shameka Brien,Laos,Network Cabling,N
V22335194T,Maisha Errol Vancura,Cambodia,Electronics,N
C34008254S,Alan Errol Mizner,Philippines,Hairdressing,N
D56299477W,Odelia Jenise Suttell,Myanmar,Industrial Control,N
C53320721D,Michaela Carlotta Brzoza,Philippines,Fashion,N
K76705851Z,Cyndy Ramona Brzoza,Laos,Electronics,N
N33928655N,Jannette Margeret Philipson,Vietnam,Cooking,N
B36677367A,Shyla Kathi Forrester,Thailand,Mobile Robotics,N
B33291583W,Osvaldo Jannette Mizner,Thailand,Fashion,N
C93076842Y,Jannette Filiberto Joung,Philippines,Hairdressing,N
E63111731E,Odelia Shameka Kennedy,Singapore,Mobile Robotics,Y
V38815311V,Kym Twanda Depifanio,Cambodia,Electrical Installation,Y
N77954880Y,Michaela Jarrod Harrow,Vietnam,Hairdressing,Y
A14481961K,Nichelle Gil Vancura,Malaysia,Refigeration,N
D59083720M,Eleonore Shelby Joung,Myanmar,Rapid Transit,N
E91463444I,Brande Cyndy Brien,Singapore,Industrial Automation,N
B88421497V,Alan Ruthe Fryberger,Thailand,Software Solutions,N
D72733199T,Lulu Shyla Joung,Myanmar,Restaurant Service,N
C76144655M,Alan Shelby Brunet,Philippines,Industrial Automation,Y
B43814553X,Vilma Margeret Blackbourn,Thailand,Electronics,Y
N76777178P,Odelia Kandi Diaconis,Vietnam,Rapid Transit,N
C73879307F,Linnie Jenise Oettgen,Philippines,Hairdressing,N
B80629374I,Cristobal Cyndy Neel,Thailand,Electronics,Y
D29968632D,Lulu Harley Brien,Myanmar,Hairdressing,N
V82616285W,Odelia Margeret Tavitian,Cambodia,Beauty Therapy,Y
N72742669S,Maisha Kathi Suttell,Vietnam,Electronics,N
T40268562E,Ayako Jannette Depifanio,Brunei,Graphic Design,Y
B77992799F,Elida Shelby Vancura,Thailand,Network Administration,N
A66285888C,Ayako Shyla Kennedy,Malaysia,CNC Maintenance,N
D91562322O,Cyndy Gil Dangerfield,Myanmar,Electrical Installation,N
B13028604O,Ayako Jannette Filippucci,Thailand,Web Technologies,N
N16149726I,Eleonore Kathi Chu-chun-lin,Vietnam,Electrical Installation,Y
K70894245L,Nichelle Ruthe Lipatova,Laos,Industrial Control,Y
C61871905D,Alan Kandi Kennedy,Philippines,CNC Maintenance,N
X31845119Q,Marcie Filiberto Mizner,Indonesia,Industrial Automation,N
X81833434O,Michaela Eda Cassell,Indonesia,Mechatronics,Y
A99187901F,Elida Harley Ducey,Malaysia,Network Administration,N
N65717716R,Cristobal Shyla Mizner,Vietnam,Industrial Automation,N
V53902310U,Shante Gil Knuttunen,Cambodia,Industrial Control,Y
C44782330A,Cyndy Filiberto Diaconis,Philippines,Restaurant Service,N
T48033505D,Charley Jarrod Oettgen,Brunei,Mechanical CAD,N
X82233934J,Osvaldo Kesha Cassell,Indonesia,Software Solutions,N
E35033233O,Vilma Twanda Tavitian,Singapore,CNC Maintenance,Y
A68300641I,Charley Kandi Elton,Malaysia,Network Cabling,Y
X59610907O,Charley Antione Harrow,Indonesia,Automobile,N
B55367609E,Eleonore Ramona Lipatova,Thailand,Rapid Transit,N
N55019295J,Dixie Evangelina Fryberger,Vietnam,CNC Maintenance,N
N94219022E,Margeret Evangelina Blackbourn,Vietnam,Network Cabling,Y
V77185172H,Brande Harley Mizner,Cambodia,Graphic Design,N
V44622770B,Chad Kandi Diaconis,Cambodia,Electrical Installation,N
C56067317F,Nichelle Juana Joung,Philippines,Beauty Therapy,Y
T53057904P,Maisha Jarrod Fryberger,Brunei,Software Solutions,N
N89570111Q,Brande Harley Tavitian,Vietnam,Industrial Control,Y
D29992719C,Jannette Twana Fryberger,Myanmar,Mechatronics,Y
A24848718P,Julius Ruthe Chu-chun-lin,Malaysia,CNC Maintenance,N
B37565344D,Shyla Merna Clement,Thailand,Rapid Transit,N
V50543045U,Brande Kandi Philipson,Cambodia,Network Administration,N
X84383479A,Alan Kesha Brunet,Indonesia,Web Technologies,N
V80089838G,Alan Freeda Depifanio,Cambodia,Web Technologies,N
X59944451O,Nelida Evangelina Brien,Indonesia,Rapid Transit,Y
B19923612G,Shyla Shyla Depifanio,Thailand,Beauty Therapy,N
N83338427D,Marcie Evangelina Arber,Vietnam,Internet of Things,N
D54073848O,Alan Kandi Harrow,Myanmar,Network Cabling,N
D46111919V,Shante Gwenda Neel,Myanmar,Internet of Things,N
A28142271Z,Marcie Kathi Depifanio,Malaysia,Graphic Design,Y
T45971476R,Alan Jannette Elton,Brunei,Rapid Transit,Y
X75104025X,Osvaldo Annemarie Clement,Indonesia,Mobile Robotics,N
A35968891G,Laree Jannette Brien,Malaysia,Network Administration,N
E49871013F,Brande Jannette Tavitian,Singapore,Cooking,Y
C34433824L,Glenna Jenise Philipson,Philippines,Graphic Design,N
C38930071O,Laree Shelby Arber,Philippines,Mechatronics,Y
