Judge ID,Area,Name,Password
J1614,Automobile Technology,Harper Chew,AHC1234
J2750,Automobile Technology,Ava Li,AAL1234
J2142,Automobile Technology,Mason Goh,AMG1234
J2889,CNC Maintenance,Jayden Goh,CJG1234
J2948,CNC Maintenance,Grace Zhou,CGZ1234
J4385,CNC Maintenance,Chloe Liew,CCL1234
J2943,CNC Maintenance,Noah Tan,CNT1234
J2790,Electrical Installations,James Su,EJS1234
J3948,Electrical Installations,Harper Zhang,EHZ1234
J2908,Electrical Installations,Roth Link,ELL1234
J3954,Electrical Installations,Logan Ling,ELL1234
J1444,Electronics,James Li,EJL1234
J2135,Electronics,Henry Lin,EHL1234
J3303,Electronics,John Ma,FJM1234
J4020,Fashion Technology,Zoey Chew,FZC1234
J3562,Fashion Technology,Benjamin Li,FBL1234
J1461,Fashion Technology,Lucas Su,FLS1234
J3120,Fashion Technology,Isabella Lin,FIL1234
J2745,Hairdressing,Matthew Zhou,HMZ1234
J2957,Hairdressing,Emma Liew,HEL1234
J2344,Hairdressing,Amelia Lee,HAL1234
J4204,Hairdressing,Carter Zhou,HCZ1234
J1962,Industrial Automation,Jacob Soo,IJS1234
J1761,Industrial Automation,Amelia Zhang,IAZ1234
J2482,Industrial Automation,Benjamin Tan,IBT1234
J3477,Industrial Automation,Alexander Kan,IAK1234
J2703,Industrial Automation,Elizabeth Liew,IEL1234
J4284,Information Network Cabling,Amelia Chang,IAC1234
J3679,Information Network Cabling,Aiden Li,IAL1234
J2389,Information Network Cabling,Ella Lee,IEL1234
J3006,Information Network Cabling,Matthew Zhang,IMZ1234
J3449,Internet-of-Things,Victoria Su,IVS1234
J1135,Internet-of-Things,Carter Chin,ICC1234
J2501,Internet-of-Things,Riley Zhang,IRZ1234
J3690,IT Software Solutions for Business,Ella Soo,IES1234
J2545,IT Software Solutions for Business,Evelyn Tan,IET1234
J2951,IT Software Solutions for Business,Sophia Lee,ISL1234
J3421,IT Software Solutions for Business,Olivia Chew,IOC1234
J4356,Rapid Transit Systems,Emily Goh,REG1234
J2718,Rapid Transit Systems,Ava Chin,RAC1234
J4213,Rapid Transit Systems,Mason Lin,RML1234
J1734,Rapid Transit Systems,Alexander Liu,RAL1234
J1204,Restaurant Service,Elizabeth Chew,REC1234
J1694,Restaurant Service,Ethan Chin,REC1234
J2952,Restaurant Service,Amelia Tan,RAT1234
J3890,Restaurant Service,Wyatt Su,RWS1234
